,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,237.0,234.0,589.0,77.0,556.0,265.0,96.0,646.0,346.0,507.0,658.0,487.0,225.0,731.0,334.0,488.0,490.0,188.0,304.0,312.0,18.0,640.0,50.0,1.0,260.0,432.0,81.0,644.0,292.0,48.0,4.0
1,589.0,77.0,265.0,237.0,556.0,96.0,564.0,346.0,269.0,225.0,405.0,487.0,318.0,204.0,486.0,235.0,312.0,363.0,707.0,526.0,18.0,640.0,50.0,1.0,260.0,432.0,81.0,644.0,292.0,48.0,3.0
2,589.0,237.0,81.0,235.0,265.0,77.0,96.0,304.0,225.0,556.0,346.0,488.0,731.0,492.0,644.0,323.0,338.0,312.0,334.0,565.0,18.0,640.0,50.0,1.0,260.0,81.0,432.0,644.0,292.0,48.0,2.0
3,77.0,265.0,589.0,225.0,237.0,327.0,556.0,96.0,235.0,232.0,346.0,699.0,269.0,188.0,646.0,731.0,318.0,312.0,492.0,707.0,18.0,640.0,50.0,1.0,260.0,432.0,81.0,644.0,292.0,48.0,3.0
4,77.0,237.0,589.0,556.0,346.0,265.0,126.0,225.0,719.0,312.0,61.0,188.0,96.0,399.0,234.0,318.0,777.0,559.0,648.0,658.0,18.0,640.0,50.0,1.0,260.0,432.0,81.0,644.0,292.0,48.0,4.0
5,225.0,235.0,556.0,265.0,77.0,327.0,96.0,237.0,589.0,346.0,256.0,707.0,319.0,334.0,323.0,312.0,304.0,487.0,676.0,294.0,18.0,640.0,50.0,260.0,1.0,432.0,81.0,644.0,292.0,48.0,1.0
6,589.0,237.0,507.0,77.0,777.0,225.0,265.0,727.0,556.0,312.0,170.0,346.0,487.0,309.0,719.0,715.0,96.0,480.0,318.0,17.0,18.0,50.0,640.0,1.0,260.0,432.0,81.0,644.0,292.0,48.0,4.0
7,237.0,507.0,589.0,77.0,556.0,225.0,346.0,487.0,265.0,731.0,269.0,488.0,96.0,312.0,309.0,232.0,658.0,23.0,484.0,482.0,18.0,50.0,640.0,1.0,260.0,432.0,81.0,644.0,292.0,48.0,4.0
8,589.0,269.0,77.0,225.0,556.0,265.0,237.0,487.0,507.0,346.0,232.0,318.0,312.0,406.0,17.0,48.0,235.0,309.0,126.0,727.0,18.0,50.0,640.0,1.0,260.0,432.0,81.0,644.0,292.0,48.0,3.0
9,589.0,77.0,556.0,237.0,225.0,265.0,777.0,346.0,487.0,600.0,312.0,488.0,318.0,416.0,135.0,648.0,707.0,17.0,96.0,170.0,18.0,50.0,640.0,1.0,260.0,432.0,644.0,81.0,292.0,48.0,3.0
10,77.0,556.0,589.0,237.0,265.0,225.0,346.0,777.0,312.0,586.0,61.0,126.0,546.0,235.0,188.0,552.0,96.0,330.0,325.0,318.0,18.0,640.0,50.0,1.0,260.0,432.0,81.0,644.0,292.0,48.0,1.0
11,77.0,589.0,237.0,265.0,556.0,507.0,346.0,225.0,552.0,312.0,586.0,488.0,486.0,777.0,468.0,269.0,546.0,487.0,96.0,61.0,18.0,640.0,50.0,1.0,260.0,432.0,81.0,644.0,292.0,48.0,4.0
12,235.0,265.0,589.0,556.0,237.0,77.0,346.0,225.0,232.0,492.0,188.0,96.0,699.0,309.0,731.0,312.0,334.0,392.0,363.0,304.0,18.0,640.0,50.0,1.0,260.0,432.0,81.0,644.0,292.0,48.0,3.0
13,589.0,556.0,265.0,77.0,237.0,225.0,235.0,43.0,731.0,96.0,309.0,492.0,346.0,488.0,487.0,312.0,658.0,646.0,23.0,259.0,18.0,640.0,50.0,1.0,260.0,432.0,81.0,644.0,292.0,48.0,4.0
14,77.0,265.0,237.0,589.0,556.0,225.0,346.0,731.0,96.0,487.0,312.0,309.0,43.0,232.0,17.0,23.0,318.0,480.0,507.0,334.0,18.0,50.0,640.0,1.0,260.0,432.0,81.0,644.0,292.0,48.0,4.0
15,77.0,237.0,265.0,556.0,225.0,589.0,346.0,731.0,96.0,232.0,507.0,658.0,235.0,312.0,646.0,318.0,188.0,480.0,487.0,309.0,18.0,50.0,640.0,1.0,260.0,432.0,81.0,644.0,292.0,48.0,4.0
16,589.0,265.0,225.0,77.0,556.0,237.0,126.0,346.0,309.0,235.0,96.0,269.0,312.0,507.0,188.0,546.0,304.0,486.0,707.0,318.0,18.0,640.0,50.0,260.0,1.0,432.0,81.0,644.0,292.0,48.0,1.0
17,589.0,235.0,77.0,265.0,556.0,225.0,507.0,237.0,346.0,487.0,96.0,304.0,232.0,81.0,312.0,327.0,586.0,552.0,321.0,188.0,18.0,640.0,50.0,1.0,260.0,432.0,81.0,644.0,292.0,48.0,2.0
18,77.0,237.0,265.0,346.0,225.0,589.0,556.0,309.0,488.0,96.0,312.0,731.0,204.0,269.0,586.0,188.0,318.0,334.0,552.0,398.0,18.0,50.0,640.0,260.0,1.0,432.0,81.0,644.0,292.0,48.0,4.0
19,265.0,589.0,225.0,77.0,237.0,318.0,346.0,269.0,312.0,556.0,96.0,416.0,235.0,338.0,500.0,507.0,17.0,126.0,82.0,141.0,18.0,50.0,640.0,260.0,1.0,432.0,81.0,644.0,48.0,292.0,3.0
20,77.0,225.0,265.0,235.0,589.0,346.0,488.0,190.0,507.0,556.0,318.0,237.0,17.0,188.0,204.0,312.0,96.0,731.0,309.0,232.0,18.0,50.0,640.0,260.0,1.0,432.0,81.0,644.0,292.0,48.0,3.0
21,237.0,589.0,346.0,77.0,265.0,225.0,188.0,507.0,312.0,318.0,274.0,657.0,96.0,334.0,416.0,478.0,600.0,719.0,17.0,165.0,18.0,50.0,640.0,1.0,260.0,432.0,81.0,644.0,292.0,48.0,4.0
22,265.0,225.0,589.0,235.0,77.0,556.0,327.0,237.0,346.0,488.0,269.0,590.0,312.0,96.0,17.0,204.0,232.0,474.0,318.0,707.0,18.0,640.0,50.0,1.0,260.0,432.0,81.0,644.0,292.0,48.0,3.0
23,589.0,237.0,77.0,265.0,225.0,346.0,556.0,312.0,546.0,491.0,269.0,318.0,507.0,65.0,96.0,309.0,545.0,719.0,165.0,164.0,18.0,50.0,640.0,1.0,260.0,432.0,81.0,644.0,292.0,48.0,4.0
24,237.0,265.0,589.0,488.0,77.0,96.0,346.0,323.0,731.0,225.0,269.0,318.0,507.0,43.0,312.0,556.0,273.0,338.0,680.0,707.0,18.0,50.0,640.0,260.0,1.0,432.0,81.0,644.0,292.0,48.0,4.0
25,237.0,589.0,488.0,265.0,346.0,225.0,77.0,318.0,507.0,556.0,269.0,600.0,312.0,777.0,135.0,657.0,204.0,274.0,273.0,338.0,18.0,50.0,640.0,1.0,260.0,432.0,81.0,644.0,292.0,48.0,4.0
26,589.0,265.0,235.0,225.0,237.0,556.0,96.0,304.0,81.0,77.0,507.0,346.0,327.0,488.0,65.0,232.0,487.0,312.0,309.0,318.0,18.0,640.0,50.0,260.0,1.0,432.0,81.0,644.0,292.0,48.0,2.0
27,589.0,237.0,346.0,77.0,265.0,777.0,312.0,318.0,225.0,188.0,556.0,96.0,507.0,164.0,161.0,147.0,334.0,43.0,159.0,309.0,18.0,640.0,50.0,1.0,260.0,432.0,81.0,644.0,292.0,48.0,4.0
28,265.0,225.0,589.0,77.0,235.0,237.0,556.0,96.0,312.0,488.0,346.0,707.0,204.0,731.0,303.0,591.0,43.0,327.0,334.0,188.0,18.0,50.0,640.0,1.0,260.0,432.0,81.0,644.0,292.0,48.0,1.0
29,265.0,225.0,237.0,589.0,77.0,96.0,556.0,346.0,235.0,309.0,312.0,488.0,731.0,318.0,17.0,43.0,65.0,204.0,338.0,334.0,18.0,640.0,50.0,260.0,1.0,432.0,81.0,644.0,292.0,48.0,1.0
30,589.0,77.0,265.0,225.0,556.0,237.0,235.0,346.0,96.0,309.0,304.0,488.0,777.0,312.0,707.0,318.0,204.0,165.0,65.0,586.0,18.0,640.0,50.0,260.0,1.0,432.0,81.0,644.0,292.0,48.0,1.0
31,77.0,589.0,346.0,237.0,556.0,265.0,329.0,312.0,96.0,269.0,234.0,658.0,352.0,646.0,318.0,225.0,487.0,338.0,188.0,72.0,18.0,640.0,50.0,1.0,260.0,432.0,81.0,644.0,292.0,48.0,4.0
32,589.0,237.0,77.0,346.0,96.0,556.0,265.0,312.0,188.0,61.0,334.0,318.0,586.0,164.0,487.0,72.0,225.0,352.0,468.0,658.0,18.0,640.0,50.0,260.0,1.0,432.0,81.0,644.0,292.0,48.0,4.0
33,589.0,77.0,96.0,327.0,265.0,235.0,225.0,556.0,346.0,237.0,507.0,304.0,487.0,323.0,312.0,81.0,352.0,334.0,298.0,188.0,18.0,50.0,640.0,260.0,1.0,432.0,81.0,644.0,292.0,48.0,2.0
34,77.0,327.0,265.0,589.0,225.0,96.0,237.0,235.0,346.0,556.0,411.0,240.0,352.0,269.0,188.0,326.0,312.0,363.0,463.0,507.0,18.0,640.0,50.0,260.0,1.0,432.0,81.0,644.0,292.0,48.0,3.0
